Doc_ID,Line_Length,Line_Words,Number_of_Lines,Inline_space_tab,Indent_space_tab,number_of_spaces,number_of_underscores,identifiers_with_underscore,Number_of_Identifiers,Number_of_keywords,Programmer
Doc_1,"(LL_28, 1), (LL_36, 1), (LL_1, 1), (LL_20, 1), (LL_21, 1), (LL_40, 1), (LL_30, 1), (LL_34, 1), (LL_27, 3), (LL_33, 1), (LL_25, 1), (LL_29, 2), (LL_5, 1), (LL_10, 1)","(LW_5, 6), (LW_7, 1), (LW_0, 4), (LW_3, 1), (LW_4, 2), (LW_8, 1), (LW_6, 3), (LW_1, 1)",19,"(IS_2, 1), (IS_6, 1), (IS_3, 1), (IS_5, 1), (IS_10, 2), (IS_9, 2), (IS_14, 1), (IS_8, 4), (IS_7, 1), (IS_0, 1)","(IN_0, 3), (IN_4, 12)",159,2,"(Circuit_1, 2)","(A, 6), (B, 6), (C, 6), (F1, 3), (F2, 4), (T1, 3), (T2, 3), (T3, 3), (T4, 3), (T5, 3), (T6, 3), (T7, 3), (G1, 1),  (G2, 1), (G3, 1), (G4, 1), (G5, 1), (G6, 1), (G7, 1), (G8, 1), (G9, 1)","(module, 1), (output, 1), (input, 1), (wire, 1), (and, 5), (or, 3), (not, 1), (endmodule, 1)",Prog_2
Doc_2,"(LL_28, 1), (LL_52, 1), (LL_24, 1), (LL_32, 1), (LL_144, 1), (LL_10, 1)","(LW_5, 2), (LW_9, 1), (LW_4, 1), (LW_24, 1), (LW_1, 1)",6,"(IS_2, 1), (IS_8, 1), (IS_6, 1), (IS_3, 1), (IS_43, 1), (IS_0, 1)","(IN_0, 3), (IN_4, 3)",74,11,"(Circuit_2, 2), (Out_1, 3), (Out_2, 3), (Out_3, 3)","(Out_1, 3), (Out_2, 3), (Out_3, 3), (A, 5), (B, 7), (C, 9), (D, 7)","(module, 1), (input, 1), (output, 1), (assign, 1), (endmodule, 1)",Prog_2
Doc_3,"(LL_28, 1), (LL_52, 1), (LL_24, 1), (LL_32, 1), (LL_144, 1), (LL_10, 1)","(LW_5, 2), (LW_9, 1), (LW_4, 1), (LW_24, 1), (LW_1, 1)",6,"(IS_2, 1), (IS_8, 1), (IS_6, 1), (IS_3, 1), (IS_43, 1), (IS_0, 1)","(IN_0, 3), (IN_4, 3)",74,11,"(Circuit_2, 2), (Out_1, 3), (Out_2, 3), (Out_3, 3)","(Out_1, 3), (Out_2, 3), (Out_3, 3), (A, 5), (B, 7), (C, 9), (D, 7)","(module, 1), (input, 1), (output, 1), (assign, 1), (endmodule, 1)",Prog_2
Doc_4,"(LL_28, 1), (LL_52, 1), (LL_24, 1), (LL_32, 1), (LL_159, 1), (LL_10, 1)","(LW_5, 2), (LW_9, 1), (LW_4, 1), (LW_24, 1), (LW_1, 1)",6,"(IS_2, 1), (IS_8, 1), (IS_6, 1), (IS_3, 1), (IS_43, 1), (IS_0, 1)","(IN_0, 3), (IN_4, 3)",74,11,"(Circuit_2, 2), (Out_1, 3), (Out_2, 3), (Out_3, 3)","(Out_1, 3), (Out_2, 3), (Out_3, 3), (A, 5), (B, 7), (C, 9), (D, 7)","(module, 1), (input, 1), (output, 1), (assign, 1), (endmodule, 1)",Prog_2
Doc_5,"(LL_28, 1), (LL_52, 1), (LL_24, 1), (LL_32, 1), (LL_51, 1), (LL_75, 1), (LL_56, 1), (LL_10, 1)","(LW_5, 2), (LW_9, 1), (LW_4, 1), (LW_7, 1), (LW_11, 1), (LW_8, 1), (LW_1, 1)",8,"(IS_2, 1), (IS_8, 1), (IS_6, 1), (IS_3, 1), (IS_12, 1), (IS_19, 1), (IS_13, 1), (IS_0, 1)","(IN_0, 3), (IN_4, 5)",83,11,"(Circuit_2, 2), (Out_1, 3), (Out_2, 3), (Out_3, 3)","(Out_1, 3), (Out_2, 3), (Out_3, 3), (A, 5), (B, 7), (C, 9), (D, 7)","(module, 1), (input, 1), (output, 1), (assign, 3), (endmodule, 1)",Prog_2
Doc_6,"(LL_28, 1), (LL_52, 1), (LL_24, 1), (LL_32, 1), (LL_53, 1), (LL_80, 1), (LL_58, 1), (LL_10, 1)","(LW_5, 2), (LW_9, 1), (LW_4, 1), (LW_7, 1), (LW_11, 1), (LW_8, 1), (LW_1, 1)",8,"(IS_2, 1), (IS_8, 1), (IS_6, 1), (IS_3, 1), (IS_12, 1), (IS_19, 1), (IS_13, 1), (IS_0, 1)","(IN_0, 3), (IN_4, 5)",83,11,"(Circuit_2, 2), (Out_1, 3), (Out_2, 3), (Out_3, 3)","(Out_1, 3), (Out_2, 3), (Out_3, 3), (A, 5), (B, 7), (C, 9), (D, 7)","(module, 1), (input, 1), (output, 1), (assign, 3), (endmodule, 1)",Prog_2
Doc_7,"(LL_28, 1), (LL_52, 1), (LL_32, 1), (LL_24, 1), (LL_38, 1), (LL_31, 1), (LL_51, 1), (LL_36, 1), (LL_80, 1), (LL_27, 1), (LL_58, 1), (LL_10, 1)","(LW_5, 3), (LW_9, 1), (LW_4, 1), (LW_6, 2), (LW_7, 2), (LW_11, 1), (LW_8, 1), (LW_1, 1)",12,"(IS_2, 1), (IS_8, 2), (IS_6, 2), (IS_3, 1), (IS_4, 1), (IS_10, 1), (IS_11, 1), (IS_19, 1), (IS_13, 1), (IS_0, 1)","(IN_0, 7), (IN_4, 5)",110,14,"(Circuit_2, 2), (Out_1, 4), (Out_2, 4), (Out_3, 4)","(Out_1, 4), (Out_2, 4), (Out_3, 4), (A, 7), (B, 10), (C, 14), (D, 10)","(module, 1), (output, 1), (input, 1), (assign, 3), (endmodule, 1)",Prog_2
Doc_8,"(LL_28, 1), (LL_52, 1), (LL_32, 1), (LL_24, 1), (LL_38, 1), (LL_31, 1), (LL_51, 1), (LL_36, 1), (LL_80, 1), (LL_27, 1), (LL_58, 1), (LL_10, 1)","(LW_5, 3), (LW_9, 1), (LW_4, 1), (LW_6, 2), (LW_7, 2), (LW_11, 1), (LW_8, 1), (LW_1, 1)",12,"(IS_2, 1), (IS_8, 2), (IS_6, 2), (IS_3, 1), (IS_4, 1), (IS_10, 1), (IS_11, 1), (IS_19, 1), (IS_13, 1), (IS_0, 1)","(IN_0, 7), (IN_4, 5)",110,14,"(Circuit_2, 2), (Out_1, 4), (Out_2, 4), (Out_3, 4)","(Out_1, 4), (Out_2, 4), (Out_3, 4), (A, 7), (B, 10), (C, 14), (D, 10)","(module, 1), (output, 1), (input, 1), (assign, 3), (endmodule, 1)",Prog_2
Doc_9,"(LL_28, 1), (LL_52, 1), (LL_32, 1), (LL_24, 1), (LL_38, 1), (LL_31, 1), (LL_51, 1), (LL_36, 1), (LL_80, 1), (LL_27, 1), (LL_58, 1), (LL_10, 1)","(LW_5, 3), (LW_9, 1), (LW_4, 1), (LW_6, 2), (LW_7, 2), (LW_11, 1), (LW_8, 1), (LW_1, 1)",12,"(IS_2, 1), (IS_8, 2), (IS_6, 2), (IS_3, 1), (IS_4, 1), (IS_10, 1), (IS_11, 1), (IS_19, 1), (IS_13, 1), (IS_0, 1)","(IN_0, 7), (IN_4, 5)",110,14,"(Circuit_2, 2), (Out_1, 4), (Out_2, 4), (Out_3, 4)","(Out_1, 4), (Out_2, 4), (Out_3, 4), (A, 7), (B, 10), (C, 14), (D, 10)","(module, 1), (output, 1), (input, 1), (assign, 3), (endmodule, 1)",Prog_2
Doc_10,"(LL_28, 1), (LL_52, 1), (LL_32, 1), (LL_24, 1), (LL_51, 1), (LL_80, 1), (LL_58, 1), (LL_10, 1)","(LW_5, 2), (LW_9, 1), (LW_4, 1), (LW_7, 1), (LW_11, 1), (LW_8, 1), (LW_1, 1)",8,"(IS_2, 1), (IS_8, 1), (IS_6, 1), (IS_3, 1), (IS_4, 1), (IS_11, 1), (IS_19, 1), (IS_13, 1), (IS_0, 1)","(IN_0, 3), (IN_4, 5)",82,11,"(Circuit_2, 2), (Out_1, 3), (Out_2, 3), (Out_3, 3)","(Out_1, 3), (Out_2, 3), (Out_3, 3), (A, 5), (B, 7), (C, 9), (D, 7)","(module, 1), (output, 1), (input, 1), (assign, 3), (endmodule, 1)",Prog_2
Doc_11,"(LL_28, 1), (LL_52, 1), (LL_32, 1), (LL_24, 1), (LL_1, 1), (LL_38, 1), (LL_31, 1), (LL_53, 1), (LL_36, 1), (LL_92, 1), (LL_27, 1), (LL_68, 1), (LL_10, 1)","(LW_5, 3), (LW_9, 1), (LW_4, 1), (LW_0, 1), (LW_6, 2), (LW_7, 2), (LW_11, 1), (LW_8, 1), (LW_1, 1)",13,"(IS_2, 1), (IS_8, 2), (IS_6, 2), (IS_3, 1), (IS_4, 1), (IS_10, 1), (IS_11, 1), (IS_19, 1), (IS_13, 1), (IS_0, 1)","(IN_0, 7), (IN_4, 5)",110,14,"(Circuit_2, 2), (Out_1, 4), (Out_2, 4), (Out_3, 4)","(Out_1, 4), (Out_2, 4), (Out_3, 4), (A, 7), (B, 10), (C, 14), (D, 10)","(module, 1), (output, 1), (input, 1), (assign, 3), (endmodule, 1)",Prog_2
Doc_12,"(LL_28, 1), (LL_52, 1), (LL_1, 3), (LL_32, 1), (LL_24, 1),  (LL_38, 1), (LL_31, 1), (LL_53, 1), (LL_36, 1), (LL_92, 1), (LL_27, 1), (LL_68, 1), (LL_10, 1)","(LW_5, 3), (LW_9, 1), (LW_4, 1), (LW_0, 3), (LW_6, 2), (LW_7, 2), (LW_11, 1), (LW_8, 1), (LW_1, 1)",15,"(IS_2, 1), (IS_8, 2), (IS_6, 2), (IS_3, 1), (IS_4, 1), (IS_10, 1), (IS_11, 1), (IS_19, 1), (IS_13, 1), (IS_0, 1)","(IN_0, 7), (IN_4, 5)",110,14,"(Circuit_2, 2), (Out_1, 4), (Out_2, 4), (Out_3, 4)","(Out_1, 4), (Out_2, 4), (Out_3, 4), (A, 7), (B, 10), (C, 14), (D, 10)","(module, 1), (output, 1), (input, 1), (assign, 3), (endmodule, 1)",Prog_2
